162,38,188,40,187,49,162,47
192,40,224,40,224,48,192,48
141,51,205,51,205,62,141,62
206,53,218,53,218,62,206,62
218,53,245,53,245,62,218,62
168,94,204,94,204,102,168,102
205,94,232,94,232,102,205,102
168,104,217,104,217,114,168,114
217,104,253,104,253,114,217,114
176,116,224,118,223,131,175,129
224,118,237,118,237,130,224,130
237,118,302,118,302,130,237,130
160,121,177,121,177,129,160,129
185,132,221,132,221,145,185,145
158,133,177,133,177,145,158,145
178,136,185,136,185,145,178,145
192,167,264,149,270,173,198,191
165,192,198,192,198,206,165,206
200,192,234,192,234,206,200,206
236,193,270,193,270,206,236,206
120,218,153,218,153,237,120,237
222,218,256,218,256,237,222,237
158,221,214,221,214,238,158,238
262,221,321,221,321,239,262,239
