260,424,320,422,320,440,261,443
208,426,253,426,253,442,208,442
311,448,358,448,358,468,311,468
288,450,309,450,309,468,288,468
172,453,287,451,288,470,172,472
229,491,268,488,268,502,230,504
151,491,187,491,187,505,151,505
192,493,225,493,225,505,192,505
266,504,318,504,318,520,266,520
151,507,214,507,214,523,151,523
216,507,264,507,264,522,216,522
288,525,369,525,369,543,288,543
189,528,233,525,234,545,190,547
243,527,279,527,279,545,243,545
153,534,185,534,185,547,153,547
192,554,228,554,228,570,192,570
151,556,183,556,183,576,151,576
287,664,352,661,353,687,288,690
219,664,282,664,282,691,219,691
151,666,214,666,214,691,151,691
395,704,507,702,508,737,396,740
268,711,387,711,387,739,268,739
156,718,257,715,258,742,156,745
40,719,120,716,121,746,41,749
